time,gt_x,gt_y,gt_z,slam_x,slam_y,slam_z,err_x,err_y,err_z,position_error_norm,dvl_matched,dvl_time_diff,dvl_residual_x,dvl_residual_y,dvl_residual_z,yaw_error,depth_residual,mag_residual,mag_matched,mag_time_diff,mag_yaw_measured,sonar_up_matched,sonar_down_matched,sonar_left_matched,sonar_right_matched,sonar_up_residual,sonar_down_residual,sonar_left_residual,sonar_right_residual,sonar_up_range,sonar_down_range,sonar_left_range,sonar_right_range
0.25,0.044,0.0131945,0.00659845,0.0414211,0.0223741,0.0277183,-0.00257892,0.00917963,0.0211198,0.023172448885331477,1,0.03,-0.00706145,-0.00450129,0.00625255,0.000186559,,-0.00882684,1,0.01,0.0137202,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.096,0.02875,0.0143859,0.0884304,0.0299509,0.0138107,-0.00756958,0.00120086,-0.000575241,0.007685799133732353,1,0.08,-0.00868689,0.0289456,-0.00436406,-3.85516e-05,,0.00298388,1,0.02,0.00700185,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.144,0.0430381,0.0215544,0.135599,0.0414531,0.0227866,-0.00840099,-0.00158501,0.00123212,0.008637534913075605,1,0.03,-0.0066409,0.00756727,-0.0282146,0.0001369,,0.0010483,1,0.01,0.0138915,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.196,0.0584008,0.0292876,0.186253,0.0604033,0.0153118,-0.00974674,0.00200254,-0.0139758,0.017156109486687242,1,0.08,-0.0138515,-0.0163677,0.00213679,-0.000198752,,0.0123123,1,0.02,0.00769514,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.244,0.0724397,0.0363859,0.227426,0.0693234,0.00447813,-0.0165737,-0.00311634,-0.0319077,0.03609017076678357,1,0.03,0.0182595,0.0155758,0.00266626,0.000150488,,-0.00651335,1,0.01,0.0312661,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.296,0.0874561,0.0440213,0.273386,0.0886858,0.0552485,-0.0226138,0.00122975,0.0112273,0.025277430660423143,1,0.08,-0.00203118,-0.0194578,-0.00161343,-3.1594e-05,,-0.00184242,1,0.02,0.0316407,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.344,0.101106,0.0510094,0.322417,0.10095,0.0586323,-0.0215826,-0.000155413,0.00762294,0.022889779164600277,1,0.03,-0.00851879,0.00632471,0.0311549,-2.55018e-05,,0.00452984,1,0.01,0.0302167,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.396,0.115626,0.058504,0.3794,0.11341,0.0587616,-0.0165995,-0.00221513,0.000257547,0.016748627753464133,1,0.08,-0.0234809,0.0029594,-0.0014994,-0.000117793,,-0.00471287,1,0.02,0.044135,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.444,0.128749,0.0653427,0.426619,0.124623,0.0651868,-0.0173815,-0.0041263,-0.000155879,0.017865250969483777,1,0.03,0.0134019,0.00260224,-0.0187114,5.35877e-05,,0.00152399,1,0.01,0.0430047,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.496,0.142628,0.0726545,0.468928,0.137222,0.0554748,-0.0270717,-0.00540596,-0.0171797,0.03251528004648891,1,0.08,0.0227212,-0.00558563,-0.0185815,-0.000171675,,0.000773487,1,0.02,0.0485919,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.544,0.155094,0.0793053,0.519319,0.141384,0.0843699,-0.0246815,-0.0137108,0.0050647,0.028684728776476168,1,0.03,-0.00353635,0.015938,-0.0235206,0.000255359,,-0.0034626,1,0.01,0.0576024,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.596,0.168193,0.0863931,0.567642,0.161635,0.0668566,-0.028358,-0.00655824,-0.0195365,0.03505512099747482,1,0.08,0.00238109,-0.0333274,-0.00891264,0.000138986,,-0.0020847,1,0.02,0.0612059,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25,0.644,0.179878,0.0928186,0.616863,0.179122,0.0810173,-0.0271374,-0.000755434,-0.0118013,0.029602024271633113,1,0.03,0.000652445,-0.0143296,-0.0175769,0.00117844,,-0.0113085,1,0.01,0.0753496,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.696,0.192065,0.0996426,0.669971,0.173734,0.0868555,-0.0260294,-0.0183308,-0.0127871,0.034308276252385514,1,0.08,-0.00449319,0.0472121,-0.0200246,0.00205664,,-0.0131662,1,0.02,0.082687,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.75,0.744,0.202852,0.105807,0.723136,0.186204,0.0684877,-0.020864,-0.0166484,-0.0373189,0.04588219715499684,1,0.03,-0.00403203,-0.0217133,0.00368257,0.00122016,,0.0143729,1,0.01,0.0610286,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.796,0.214007,0.112328,0.761766,0.192692,0.090184,-0.0342343,-0.0213152,-0.0221445,0.04600765075267373,1,0.08,0.0385115,-0.00403218,-0.00679653,0.000812541,,0.00374997,1,0.02,0.0753054,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.25,0.844,0.223788,0.118196,0.815534,0.198363,0.126415,-0.0284655,-0.0254251,0.00821902,0.03904193501890499,1,0.03,-0.0137758,-0.00264514,-0.0222664,0.000605187,,0.00585823,1,0.01,0.0775589,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.896,0.233798,0.124379,0.867317,0.206794,0.102604,-0.0286834,-0.0270038,-0.0217756,0.045012436118921625,1,0.08,-0.00353911,-0.0136767,-0.0101535,2.01684e-05,,0.00529021,1,0.02,0.0822265,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.75,0.944,0.242475,0.129918,0.915497,0.214512,0.101936,-0.0285034,-0.0279635,-0.0279826,0.04875886633803128,1,0.03,0.0105925,-0.0133436,-0.0313799,-0.0013168,,0.0167099,1,0.01,0.0747747,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.996,0.251241,0.135728,0.96198,0.224074,0.114412,-0.03402,-0.0271672,-0.0213155,0.048474402483063166,1,0.08,0.0120897,-0.0182274,-0.0321796,-0.00302441,,0.0158948,1,0.02,0.0784658,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.25,1.044,0.258728,0.140906,1.01275,0.229928,0.120981,-0.0312475,-0.0287996,-0.0199257,0.046934600636417474,1,0.03,-0.00241499,-0.00261608,-0.0174513,-0.00329694,,0.00266098,1,0.01,0.0944188,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,1.096,0.266162,0.14631,1.07077,0.238776,0.155134,-0.0252348,-0.027386,0.00882397,0.038270753501870064,1,0.08,-0.0228472,-0.00891778,-0.0324013,-0.00212728,,-0.017809,1,0.02,0.118664,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.75,1.144,0.272384,0.151099,1.12409,0.244264,0.154216,-0.0199055,-0.02812,0.00311739,0.03459308385591114,1,0.03,-0.00106163,-0.00277511,-0.0178303,-0.0019914,,-9.18081e-05,1,0.01,0.106628,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.196,0.278412,0.156065,1.17798,0.254814,0.165816,-0.0180166,-0.0235976,0.00975061,0.031249303939321592,1,0.08,-0.00201322,-0.0198231,-0.00626888,-0.00410146,,0.0199071,1,0.02,0.0907118,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,1.244,0.283306,0.160438,1.23231,0.25744,0.136796,-0.0116898,-0.0258653,-0.023642,0.03694061900036327,1,0.03,0.000911641,0.00864303,0.00606123,-0.00471641,,0.00691888,1,0.01,0.105888,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,1.296,0.287867,0.16494,1.28198,0.255363,0.169228,-0.0140208,-0.0325046,0.0042873,0.03565827807241959,1,0.08,0.0178365,0.0181861,-0.007892,-0.00425889,,-0.00926985,1,0.02,0.125223,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,1.344,0.291385,0.168873,1.32653,0.257518,0.154161,-0.017466,-0.0338675,-0.0147118,0.040847347178121614,1,0.03,0.0281274,-0.00389286,-0.0196581,-0.00365566,,-0.0066909,1,0.01,0.127225,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1.396,0.294435,0.172885,1.3742,0.253872,0.180722,-0.0218032,-0.0405627,0.00783752,0.046713369406203194,1,0.08,0.0126786,0.0129978,0.0191244,-0.00325972,,-0.00743382,1,0.02,0.132336,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.25,1.444,0.296541,0.176354,1.42706,0.258692,0.1575,-0.0169393,-0.0378493,-0.018854,0.045551978123677575,1,0.03,-0.00955984,-0.0170881,0.0228121,-0.00278697,,-0.00545342,1,0.01,0.134692,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1.496,0.298048,0.179854,1.47612,0.259144,0.149562,-0.0198838,-0.0389047,-0.0302917,0.0531651039067921,1,0.08,0.00800052,-0.00405771,-0.0156093,-0.00190883,,-0.0129993,1,0.02,0.146331,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.75,1.544,0.298722,0.18284,1.52703,0.269238,0.198164,-0.0169723,-0.0294843,0.0153232,0.0373119735744439,1,0.03,-0.00431242,-0.0392153,-0.00731079,-0.00358191,,0.020981,1,0.01,0.116942,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.596,0.298672,0.185808,1.57967,0.263498,0.179632,-0.016333,-0.0351742,-0.00617579,0.03926998366136788,1,0.08,-0.00399958,0.0211176,0.0264548,-0.00380724,,0.000501452,1,0.02,0.139235,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,1.644,0.297906,0.188295,1.63385,0.274428,0.181617,-0.0101514,-0.0234788,-0.0066786,0.026436880855350543,1,0.03,-0.0132159,-0.0351869,-0.00144348,-0.00288207,,-0.0124813,1,0.01,0.155445,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,1.696,0.296299,0.190714,1.68766,0.268993,0.206306,-0.00834303,-0.0273067,0.0155923,0.03253278091035103,1,0.08,-0.00126121,0.0210756,-0.0145433,-0.00195401,,-0.0143402,1,0.02,0.161494,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,1.744,0.294102,0.192688,1.73528,0.26932,0.204374,-0.00871572,-0.0247826,0.0116858,0.028752373111073804,1,0.03,0.0136103,-0.00653522,0.0197924,-0.00173158,,-0.00192879,1,0.01,0.153394,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1.796,0.290954,0.194545,1.78571,0.265177,0.216333,-0.0102938,-0.0257771,0.0217888,0.03528700905843395,1,0.08,0.00495897,0.0066585,-0.00780088,-0.00213953,,0.00332809,1,0.02,0.151428,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.25,1.844,0.287347,0.195995,1.82842,0.250193,0.236831,-0.0155765,-0.0371548,0.0408359,0.05736442489993254,1,0.03,0.0330073,0.0362135,-0.0370536,-0.000933704,,-0.0134677,1,0.01,0.171105,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,1.896,0.28269,0.197278,1.88299,0.244807,0.218563,-0.0130104,-0.0378828,0.0212849,0.045358836096288886,1,0.08,-0.0196725,0.00361269,0.028606,-0.000267171,,-0.0117716,1,0.02,0.173328,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.75,1.944,0.277709,0.198196,1.93646,0.237728,0.206354,-0.00754476,-0.0399812,0.00815862,0.041496781046269124,1,0.03,-0.0121197,0.00299117,0.0173721,2.41947e-05,,-0.00256133,1,0.01,0.167816,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.996,0.271589,0.198899,1.9887,0.235073,0.187805,-0.00730326,-0.036516,-0.0110936,0.03885645150534979,1,0.08,-0.00854267,-0.0133259,0.00704845,0.000402272,,-0.00699036,1,0.02,0.175215,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.25,2.044,0.265285,0.199279,2.03413,0.231226,0.190923,-0.00986706,-0.0340587,-0.00835581,0.036430392250011524,1,0.03,0.0145837,-0.0161252,0.00339818,-8.54449e-05,,0.00866326,1,0.01,0.162668,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,2.096,0.257763,0.199398,2.08362,0.221807,0.198555,-0.0123762,-0.0359557,-0.000843716,0.03803543802322587,1,0.08,0.000865687,0.0097041,0.0249046,0.000855634,,-0.0152376,1,0.02,0.188571,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.75,2.144,0.250198,0.199238,2.12953,0.214569,0.19524,-0.0144717,-0.0356285,-0.0039987,0.03866276910452742,1,0.03,0.0109003,-0.00647948,0.0219201,0.000844734,,0.00280847,1,0.01,0.174018,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2.196,0.241349,0.198773,2.17503,0.204437,0.206708,-0.0209652,-0.0369116,0.00793467,0.04318523837619633,1,0.08,0.0122968,0.00519568,-0.0200432,0.00189435,,-0.0182818,1,0.02,0.197241,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,2.244,0.232598,0.198074,2.22804,0.187755,0.190368,-0.0159602,-0.0448432,-0.00770618,0.04821852113526917,1,0.03,-0.0136385,0.025303,0.0162089,0.00216516,,-0.00186029,1,0.01,0.184236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,2.296,0.222512,0.197027,2.26953,0.172604,0.191605,-0.0264693,-0.0499074,-0.00542212,0.056751844045320674,1,0.08,0.0238931,0.00570455,0.00785463,0.00217889,,-0.00144227,1,0.02,0.186076,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.75,2.344,0.212663,0.195793,2.32291,0.159805,0.185721,-0.0210911,-0.052858,-0.0100719,0.057794859916951095,1,0.03,-0.0224526,-0.000588786,-0.00664728,0.00160026,,0.0112265,1,0.01,0.175516,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,2.396,0.201439,0.19417,2.36801,0.150866,0.203432,-0.0279943,-0.0505726,0.00926225,0.05854107940850169,1,0.08,0.00488767,-0.0168885,-0.00312499,0.00207001,,-0.00856522,1,0.02,0.196551,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,2.444,0.190591,0.192408,2.42194,0.137454,0.19693,-0.0220601,-0.0531371,0.00452241,0.05771179775945383,1,0.03,-0.0256366,0.0010966,0.000834533,0.00195356,,0.00495791,1,0.01,0.185366,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,2.496,0.178342,0.190217,2.47022,0.130256,0.211054,-0.0257831,-0.048086,0.0208365,0.05840540534796416,1,0.08,-0.00694167,-0.0219937,-0.038201,0.0023854,,-0.00903498,1,0.02,0.200703,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.75,2.544,0.166603,0.187937,2.51733,0.11785,0.206645,-0.0266653,-0.0487525,0.0187081,0.05863307501700725,1,0.03,-0.00259829,-0.00899935,-0.00188757,0.00168308,,0.0143627,1,0.01,0.179386,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,2.596,0.15345,0.185192,2.56892,0.0960478,0.186709,-0.0270774,-0.0574027,0.00151722,0.06348667194441995,1,0.08,-0.012689,0.0252672,0.00648213,0.00113159,,0.00980963,1,0.02,0.184591,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.25,2.644,0.140938,0.182407,2.62337,0.0845126,0.204421,-0.0206308,-0.0564253,0.0220146,0.06398505295684297,1,0.03,-0.0283973,-0.0102075,0.00978381,0.00136994,,-0.00251459,1,0.01,0.197682,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,2.696,0.127014,0.179122,2.66725,0.0729228,0.196804,-0.0287531,-0.0540911,0.0176814,0.06375907594044945,1,0.08,0.00958269,-0.0188034,-0.0126284,0.000966386,,0.00702394,1,0.02,0.189474,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.75,2.744,0.113853,0.175847,2.71713,0.0623208,0.177311,-0.0268657,-0.0515318,0.00146323,0.058132893354476176,1,0.03,-0.0143165,-0.0174051,-0.0131958,0.0005229,,0.00991359,1,0.01,0.187277,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2.796,0.0992964,0.172042,2.76778,0.0479445,0.166435,-0.0282237,-0.0513519,-0.00560665,0.058864500333583904,1,0.08,-0.0131095,0.00339613,0.00991265,0.00120237,,-0.0131802,1,0.02,0.210778,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.25,2.844,0.0856179,0.168296,2.81684,0.0333076,0.183632,-0.027161,-0.0523103,0.0153361,0.06090388633166196,1,0.03,-0.00878837,-0.000762861,0.0322,0.00143527,,-0.00335943,1,0.01,0.202451,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,2.896,0.0705748,0.163991,2.86723,0.0239625,0.151635,-0.028768,-0.0466123,-0.0123558,0.05615131457882353,1,0.08,-0.0158542,-0.0149606,-0.0232006,0.00172319,,-0.00541452,1,0.02,0.20538,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.75,2.944,0.0565157,0.159795,2.9161,0.00710956,0.132428,-0.0278977,-0.0494061,-0.0273667,0.06299349689761635,1,0.03,-0.00725638,0.00778847,0.0116796,0.00100858,,0.0147873,1,0.01,0.186022,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.996,0.041136,0.155015,2.96879,0.000702683,0.1596,-0.0272074,-0.0404333,0.00458564,0.04895020385922412,1,0.08,-0.0248638,-0.0230096,-0.0226788,0.000943129,,0.00295156,1,0.02,0.197612,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.25,3.044,0.0268368,0.150392,3.01707,-0.0159677,0.162279,-0.0269301,-0.0428045,0.0118874,0.05194964663036699,1,0.03,-0.000873148,0.0101893,-0.000267621,0.000595926,,0.00799489,1,0.01,0.19278,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,3.096,0.0112742,0.145163,3.06232,-0.029183,0.13864,-0.0336827,-0.0404572,-0.00652374,0.05304590931181782,1,0.08,0.00860209,0.000871636,-0.0227525,0.00100001,,-0.008813,1,0.02,0.209361,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.75,3.144,-0.00312219,0.14014,3.11545,-0.0451678,0.168188,-0.0285477,-0.0420456,0.0280483,0.058047487349066194,1,0.03,-0.0194845,0.0146734,-0.00770029,0.0011874,,-0.00249365,1,0.01,0.203534,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,3.196,-0.0187122,0.134493,3.16773,-0.0578998,0.11677,-0.0282742,-0.0391875,-0.0177231,0.05147036832489156,1,0.08,-0.0185621,-0.00187914,0.0294084,0.000639131,,0.0137809,1,0.02,0.187391,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.25,3.244,-0.033062,0.129097,3.21383,-0.0751607,0.146267,-0.0301657,-0.0420987,0.0171697,0.05456252006890811,1,0.03,0.00751283,0.0106267,-0.00393876,-6.00912e-05,,0.014598,1,0.01,0.185766,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,3.292,-0.0473384,0.123533,3.26795,-0.0967138,0.11605,-0.0240528,-0.0493755,-0.00748302,0.05542989064043335,1,0.08,-0.0182446,0.0304513,0.0326407,-0.000538317,,0.0095323,1,0.02,0.189774,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.75,3.344,-0.0626834,0.117325,3.3135,-0.114432,0.130184,-0.0304968,-0.0517482,0.0128592,0.061427111588613706,1,0.03,0.00908565,0.00832039,-0.0207208,-0.00127628,,0.0157197,1,0.01,0.182679,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,3.396,-0.0778623,0.110937,3.36129,-0.140697,0.112558,-0.0347133,-0.0628342,0.00162124,0.07180374854885782,1,0.08,0.00740567,0.0413469,0.00743319,-0.00106648,,-0.00500939,1,0.02,0.202114,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
